[07:34:00.479] [INFO]  Agent Exo-Suit V4.0 'PERFECTION' - Secret Scanner Starting...
[07:34:00.485] [INFO]  Starting V4.0 Ultra-robust Secret Scan...
[07:34:00.486] [INFO]  Root directory: .
[07:34:11.239] [INFO]  Found 1216 files to scan
[07:34:11.240] [INFO]  Using sequential processing...
[07:34:12.382] [INFO]  Error processing rule RSA_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.383] [INFO]  Error processing rule EC_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.384] [INFO]  Error processing rule OPENSSH_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.385] [INFO]  Error processing rule DSA_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.471] [INFO]  Error processing rule RSA_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.472] [INFO]  Error processing rule EC_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.473] [INFO]  Error processing rule OPENSSH_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.474] [INFO]  Error processing rule DSA_PRIVATE_KEY in Scan-Secrets-V4.ps1: Exception calling "Substring" with "2" argument(s): "Index and length must refer to a location within the string. (Parameter 'length')"
[07:34:12.510] [INFO] 
 Secret Scan Complete!
[07:34:12.511] [INFO]  Duration: 12.0216592 seconds
[07:34:12.511] [INFO]  Files scanned: 1216
[07:34:12.512] [INFO]  Total secrets found: 0
[07:34:12.513] [INFO]  Blocking: 0
[07:34:12.514] [INFO]  Warnings: 0
[07:34:12.516] [INFO]  Legacy report: .\restore\SECRETS_REPORT_V4.json
[07:34:12.517] [INFO]  No secrets found - codebase is clean!
